'abs_01_QDs_ZnS_Mn_after_2020-10-14_14-46.spc - RawData'
'Wavelength nm.'	'Abs.'
698.0	0.0298
699.0	0.0297
700.0	0.0298
701.0	0.0295
702.0	0.0297
703.0	0.0298
704.0	0.0300
705.0	0.0299
706.0	0.0302
707.0	0.0300
708.0	0.0301
709.0	0.0301
710.0	0.0301
711.0	0.0303
712.0	0.0299
713.0	0.0300
714.0	0.0300
715.0	0.0303
716.0	0.0301
717.0	0.0302
718.0	0.0299
719.0	0.0299
720.0	0.0298
721.0	0.0296
722.0	0.0294
723.0	0.0296
724.0	0.0298
725.0	0.0301
726.0	0.0302
727.0	0.0304
728.0	0.0307
729.0	0.0304
730.0	0.0298
731.0	0.0301
732.0	0.0299
733.0	0.0299
734.0	0.0299
735.0	0.0298
736.0	0.0294
737.0	0.0292
738.0	0.0288
739.0	0.0289
740.0	0.0294
741.0	0.0296
742.0	0.0298
743.0	0.0299
744.0	0.0300
745.0	0.0299
746.0	0.0298
747.0	0.0300
748.0	0.0300
749.0	0.0294
750.0	0.0290
751.0	0.0291
752.0	0.0292
753.0	0.0292
754.0	0.0294
755.0	0.0294
756.0	0.0293
757.0	0.0292
758.0	0.0290
759.0	0.0296
760.0	0.0299
761.0	0.0301
762.0	0.0300
763.0	0.0303
764.0	0.0298
765.0	0.0301
766.0	0.0296
767.0	0.0297
768.0	0.0299
769.0	0.0301
770.0	0.0297
771.0	0.0300
772.0	0.0300
773.0	0.0299
774.0	0.0297
775.0	0.0299
776.0	0.0301
777.0	0.0299
778.0	0.0295
779.0	0.0296
780.0	0.0292
781.0	0.0287
782.0	0.0292
783.0	0.0290
784.0	0.0288
785.0	0.0292
786.0	0.0293
787.0	0.0289
788.0	0.0299
789.0	0.0304
790.0	0.0297
791.0	0.0301
792.0	0.0303
793.0	0.0299
794.0	0.0296
795.0	0.0299
796.0	0.0297
797.0	0.0296
798.0	0.0285
799.0	0.0275
800.0	0.0267
